DEPT,DPHI_D,GR_NORM,NPHI_D,PEF_D,POR_D,RESD_D,RHOB_D,DTC_D,LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD1],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD2],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD3],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD4],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD5],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD6],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD1_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD2_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD3_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD4_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD5_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD6_2],K_SDR_PRE
3018.0,0.328,92.0,0.445,3.44,0.0,1.91,2.149,123.87,599.5399,5859.0001,139.3077,235.2549,290.5352,1363.812,0.9355,2.6505,9.805,0.0314,0.303,0.358,
3018.5,0.327,90.09,0.448,3.37,0.0,1.91,2.151,124.26,580.7541,4930.6681,171.0545,245.1588,289.2233,1315.9197,0.8206,2.0702,7.516,0.029,0.2826,0.3556,
3019.0,0.321,92.87,0.431,3.33,0.0,1.98,2.161,122.23,577.5233,4165.8184,251.4266,157.2553,208.3431,1229.3834,0.5851,1.4264,4.306,0.0302,0.2971,0.3357,
3019.5,0.312,98.01,0.416,3.33,0.0,2.23,2.177,120.3,631.5555,4055.8148,315.1189,109.7946,140.0296,1027.5701,0.3254,1.1422,2.8328,0.0248,0.2832,0.3044,
3020.0,0.305,110.0,0.413,3.38,0.0,2.45,2.189,120.1,792.4466,4953.4388,323.9382,91.6014,105.1026,866.8556,0.1865,1.2128,3.0111,0.0171,0.2372,0.2915,
3020.5,0.3,117.99,0.42,3.41,0.0,2.59,2.195,121.25,1030.4309,6877.9977,346.4926,102.4761,96.843,786.9517,0.1342,1.4396,4.2178,0.0112,0.2078,0.3232,
3021.0,0.299,118.86,0.425,3.43,0.0,2.52,2.201,122.12,942.2187,5762.936,285.8918,88.8922,82.3411,659.0346,0.1422,1.495,4.4145,0.0088,0.1531,0.2732,
3021.5,0.299,115.63,0.424,3.34,0.0,2.38,2.201,122.0,711.3539,3553.9743,306.6709,81.059,81.4872,662.4168,0.1547,1.0583,3.0083,0.0104,0.1542,0.2722,
3022.0,0.298,110.69,0.415,3.25,0.0,2.25,2.201,120.84,516.8179,2139.1058,342.9475,67.501,79.1995,700.3064,0.1742,0.708,1.8237,0.0148,0.1807,0.2838,
3022.5,0.298,106.4,0.408,3.2,0.357,2.21,2.2,119.73,634.6566,227.1217,777.6892,1221.1789,1395.803,849.8817,6.8159,0.2254,0.2644,0.0934,0.1506,0.295,24.461740493774414
