DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RHOB_N,K_SDR_D,K_TIM_D,K_SDR_N,K_SDR_N_PRE
4368.0,8.05,0.118,87.43,159.91,0.231,2.77,0.183,2.56,2.508,-999.25,-999.25,0.700950325,0.1160363107919693
4368.5,8.05,0.104,80.63,166.45,0.156,2.94,0.133,2.89,2.532,-999.25,-999.25,0.097809456,0.04238097369670868
4369.0,7.99,0.087,76.58,162.95,0.118,3.25,0.104,3.4,2.561,-999.25,-999.25,0.038695171,0.01075232494622469
4369.5,7.93,0.077,77.48,151.53,0.096,3.61,0.087,2.28,2.578,-999.25,-999.25,0.021479577,0.003001432167366147
4370.0,7.83,0.087,74.15,136.14,0.114,3.77,0.101,4.52,2.56,-999.25,-999.25,0.073821217,0.0096873315051198
4370.5,7.81,0.1,79.27,127.94,0.171,3.69,0.14,3.69,2.539,-999.25,-999.25,0.064839654,0.018228253349661827
4371.0,7.93,0.106,81.92,122.97,0.18,3.45,0.148,2.75,2.529,-999.25,-999.25,0.055238057,0.016864104196429253
4371.5,7.96,0.094,80.59,112.01,0.148,3.3,0.124,2.29,2.55,-999.25,-999.25,0.017212417,0.007732938043773174
4372.0,8.02,0.08,80.98,94.5,0.151,3.23,0.121,2.14,2.574,-999.25,-999.25,0.004713167,0.0019589299336075783
4372.5,8.02,0.068,83.89,79.86,0.197,3.22,0.147,2.22,2.595,-999.25,-999.25,0.018533507,0.004900812171399593
4373.0,8.0,0.068,82.8,71.01,0.21,3.17,0.156,2.92,2.594,-999.25,-999.25,0.014614377,0.010052451863884926
4373.5,7.88,0.066,81.22,66.21,0.189,3.18,0.142,2.91,2.598,-999.25,-999.25,0.018533984,0.009272018447518349
4374.0,7.79,0.059,80.21,64.78,0.192,3.3,0.142,3.51,2.609,-999.25,-999.25,0.016760267,0.011997699737548828
4374.5,7.93,0.051,77.95,63.72,0.179,3.39,0.132,4.48,2.623,-999.25,-999.25,0.012400068,0.013497925363481045
4375.0,7.97,0.073,74.46,62.44,0.149,3.37,0.117,6.11,2.585,-999.25,-999.25,0.032174904,0.03785274177789688
4375.5,8.02,0.104,79.9,61.11,0.166,3.13,0.139,2.77,2.532,-999.25,-999.25,0.102180347,0.019565874710679054
4376.0,7.98,0.122,86.2,61.15,0.221,2.95,0.179,1.95,2.501,-999.25,-999.25,0.311711073,0.06820813566446304
